trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-93.51592466735556,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-92.41068037073907,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-52.476056454553145,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-93.71811676772913,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-40.28506245723865,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,6,-65.38112506261706,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-169.124654277964,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-156.2163520651184,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-107.85171961775626,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-87.6575107487938,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-151.50155024953798,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-283.7069085725987,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-60.30294486710068,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-181.74443793910766,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-68.2992679556867,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-82.32961569506449,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,10,-30.973304082892152,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-190.00538199644876,"{0: 15, 1: 2, 2: 2, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-226.17620772851475,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-86.40899541282255,"{0: 15, 1: 7, 2: 1, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,-123.09229297870786,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-121.1905171965765,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-64.70883189825595,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-51.000540819861385,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-46.66494303498783,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-156.27121358118362,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,0,11.719360856813907,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-40.20587844004442,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-226.1771492869832,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-96.3684828582885,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
