trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",30,4,-167.44471877801192,"{0: 13, 1: 1, 2: 8, 3: 3, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-162.2047838787154,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-93.2611712158862,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-138.93080457385844,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-81.1636320424379,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-101.29038721895921,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-106.09604188441158,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-78.3978160808549,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,11,-50.97214029834672,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-117.76980827309478,"{0: 7, 1: 2, 2: 10, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",35,0,-91.2615979999593,"{0: 25, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-48.37777913423249,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-73.62600655481899,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-198.20714345946777,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-184.82506807630926,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-46.28024594114898,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-99.08534722316143,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-104.49771479224127,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-180.0040478889755,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-21.88896854390986,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,5,-189.5490469952756,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 3}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-112.00420709861886,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-85.95720937878879,"{0: 17, 1: 7, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-197.06002578698408,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",30,0,-161.0999264507484,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",1
